sample,individual,species,sample_type,sex,state,raw_reads,reads_lost_fastp_percent,reads_post_fastp,metagenomic reads,host_reads,read_length,metagenomic_bases,host_bases,metagenomic_bases_percent
EHI01821,SD0297501,Coragyps atratus,Stomach contents,Female,Texas,132550074,0.025113634,129221260,31122644,98098616,147.6896205,4011493448,15073145398,0.240847706
EHI01659,SD0296301,Coragyps atratus,Colon contents,Female,Florida,92870794,0.0747093,85932482,21166498,64765984,137.9464109,2669808970,9184268505,0.24631545
EHI01104,SD0297001,Coragyps atratus,Colon contents,Female,Texas,51481402,0.084288264,47142124,12752220,34389904,130.4617191,1532780476,4617462065,0.270505843
EHI01640,SD0294801,Cathartes aura,Colon contents,Female,Florida,65978250,0.066077624,61618564,36090096,25528468,135.4162977,4761548041,3582609766,0.585701673
EHI01788,SD0295901,Cathartes aura,Stomach contents,Male,Florida,41208572,0.024554309,40196724,9147128,31049596,147.4606312,1125411663,4802022629,0.227559042
EHI01828,SD0295801,Cathartes aura,Stomach contents,Male,Florida,74479912,0.040359446,71473944,46603944,24870000,145.6528926,6579357577,3831029109,0.652041029
EHI01105,SD0297801,Cathartes aura,Colon contents,Female,Texas,42774626,0.051293914,40580548,10836748,29743800,136.8069966,1321762905,4229939989,0.267042919
EHI01643,SD0296601,Coragyps atratus,Colon contents,Female,Texas,42903152,0.146859886,36602400,8299928,28302472,126.7234887,972774455,3665609366,0.22675912
EHI01792,SD0298001,Cathartes aura,Colon contents,Female,Texas,32120816,0.023927723,31352238,9550800,21801438,146.1912862,1240521491,3342902507,0.304628971
EHI01126,SD0294501,Cathartes aura,Colon contents,Male,Florida,35671612,0.11629096,31523326,11305214,20218112,132.4415517,1398148988,2776849221,0.358630114
EHI01802,SD0297501,Coragyps atratus,Colon contents,Female,Texas,44392050,0.019107025,43543850,9176614,34367236,147.6262364,1164392552,5263822142,0.210744204
EHI01648,SD0296801,Coragyps atratus,Colon contents,Male,Texas,72087218,0.057022009,67976660,17173476,50803184,136.7827831,2144622005,7153414733,0.252637832
EHI01110,SD0296301,Coragyps atratus,Colon contents,Female,Florida,44017350,0.067456174,41048108,10014612,31033496,138.8305438,1263811225,4434919929,0.24397256
EHI01793,SD0297201,Coragyps atratus,Stomach contents,Female,Texas,47919098,0.033730768,46302750,9050766,37251984,147.6518164,1109386207,5727298935,0.195469297
EHI01635,SD0295301,Cathartes aura,Stomach contents,Female,Florida,90817614,0.02939062,88148428,87190619,957809,144.7587762,12612458592,147799971,0.989134134
EHI01661,SD0297801,Cathartes aura,Colon contents,Female,Texas,113465658,0.057155214,106980504,28058080,78922424,135.8907721,3412107018,11125556274,0.262272834
EHI01192,SD0296201,Cathartes aura,Stomach contents,Male,Florida,21007848,0.051691444,19921922,8155291,11766631,147.4896551,1120354042,1817923362,0.409362661
