EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01144	AIG46	Cathartes aura	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	34823390	28772440	0.06580587887305411	0	4798964482	0.14173310781796966	11.9436224806093	0.912966735348656
EHI01535	AAW63	Psittacula echo	Bel Ombre	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.44	57.43	82.64	58277730	34915216	0.018660787562465586	3403085319	5291594991	0.023934674210138507	17.7717544775852	0.936320125730796
EHI01115	AII99	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	25121774	21176112	0.05210188732355037	0	3430523356	0.13706024777685422	11.6652547768003	0.912478077326816
EHI01138	AIH79	Coragyps atratus	Texas, 7.8 mi N of Alice	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	49022126	38668024	0.05177754791720035	0	6725087806	0.13278897099411058	12.3079318045004	0.925055532863522
EHI01154	AIJ22	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	28272880	23326890	0.0928658649234867	0	3898067560	0.16620447002913163	11.8555672483176	0.919630321091875
EHI00127	AAW23	Psittacula echo	Bel Ombre, Mollocus	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.46	57.43	73.44	24356468	1964374	0.030391290663885795	3181469022	268519295	0.08439414141901502	16.5051358747391	0.953395237037406
EHI01098	AIF97	Coragyps atratus	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	2.08	19517274	267179	0.0772848757025576	2614262907	37288829	0.16428667594175317	18.7669711941371	0.620438571156549
EHI01223	AIH64	Coragyps atratus	Florida, 1.4 mi W of Hasan	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	69.5	15034756	3164663	0.03640320748668213	1720283008	478323775	0.060589811989932185	18.7210205338488	0.72032207078051
EHI01140	AIG42	Cathartes aura	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.24	24469060	264552	0.025152043478534503	3519645399	41389705	0.05418848830983447	19.9704786375806	0.625646972343317
EHI01186	AIJ09	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Stomach contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	20325124	16873352	0.03237194776506658	0	2991858517	0.05043425422080039	12.5096266432857	0.876590516785032
EHI01139	AIG15	Cathartes aura	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	46.57	25909478	17933980	0.06765090073718594	987536266	2485911979	0.1667228642322185	15.0533840336406	0.893317933443402
EHI01185	AIH53	Coragyps atratus	Florida, 1.4 mi W of Hasan	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	78.42	17444140	9348067	0.027669828665249585	1132903190	1433175170	0.046451354079480534	17.1813577945629	0.804691030694823
EHI01092	AIG77	Coragyps atratus	Florida, 4.1 mi N of Brooker	Duodenum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	25644404	20273512	0.04494967183045151	0	3453785437	0.14249286380138204	11.788104030144	0.90479460832707
EHI01112	AIH99	Cathartes aura	Texas, 7.8 mi N of Alice	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	36628014	30229088	0.07176024479488519	0	5050484690	0.14672584171725678	11.8724717232017	0.928581697882405
EHI01404	AGY89	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.15	49.37	49051778	6445078	0.03089907297249206	6277164055	1018159554	0.03912353289924719	14.6359351184059	0.992812587777403
EHI01364	AGY88	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.15	52.83	45452408	217421	0.027833211282423442	6706536617	29854221	0.03945016532091261	14.4933101705865	0.957122557129134
EHI01369	AGZ38	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.2	81.92	47147872	309032	0.02311993069080498	6958381504	49761328	0.031965492814762464	15.597573873607	0.966856744380807
EHI01094	AIG79	Coragyps atratus	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	32011900	25570976	0.03869998391021623	0	4370299817	0.12508175930424226	11.8549159687489	0.912127703612379
EHI01136	AIH57	Coragyps atratus	Florida, 1.4 mi W of Hasan	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	0.0	26733342	21076320	0.0845622453411653	0	3569871378	0.18503890791826916	11.4428410864992	0.907783862124876
