Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01221,AIG20E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0,25656472,21823888,0.04943837275853720,0,3774078569,0.06781304774723210,11.8595591347963,0.934020390512672
EHI01647,AIF81E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.5809000000000000,77628846,31978218,0.04349558705206700,6193040094,4631304091,0.11085174187098800,15.5466762232938,0.972696500349018
EHI01184,AIH48E1L1I1,Cathartes aura,"Florida, 1.4 mi W of Hasan",Colon contents,Accipitriformes,Male,United States,29.85755,-82.4619,0.7522,18117110,9006627,0.03974530322387520,1261113152,1409999614,0.0561597741324209,16.728428645493,0.91580599805231
EHI01820,AII64E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Male,United States,27.86424,-98.05131,0.1558,47800472,35336724,0.021673684485428700,1671464046,5236900741,0.05738238061801070,14.0594411834944,0.873869144646476
EHI01637,AIH70E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Colon contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.14,94200572,70520000,0.06320262981093490,2955389714,9820658695,0.15297269101087900,13.4806559632443,0.93618215659451
EHI01652,AII26E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.01,89098090,71073150,0.0765921561092252,2193015283,9596022525,0.1854602806238900,12.489841534645,0.937764088139236
EHI01107,AIH81E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,24838628,19350992,0.053485590846623900,0,3402755769,0.13555145740785200,11.71870706395,0.89865634578028
EHI01101,AIF53E1L1I1,Cathartes aura,"Florida, Lake Butler",Stomach contents,Accipitriformes,Male,United States,30.02768,-82.34884,0.0601,49282654,29650128,0.09196709796152440,2452268908,4107120177,0.1942883722060300,17.6531299026636,0.642372462692513
EHI01143,AIG26E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.8642,28129526,9925362,0.05485349142264250,2469945357,1433702974,0.12558792239431300,16.9148323977137,0.928047790385059
EHI01641,AIG15E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.4384,63217598,43668370,0.07365822310639140,2415298413,6002895168,0.17764202302678300,15.1152139952151,0.944824544996005
EHI01638,AII37E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0707,102710446,74313030,0.09113690218574830,3405750402,9893514642,0.2154507032619560,12.9449911861124,0.940577835367928
EHI01821,AII86E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.1063,129221260,98098616,0.025113633659684000,4011493448,15073145398,0.040129350361584800,14.105713490166,0.908531030982145
EHI01659,AIH59E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Colon contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.2403,85932482,64765984,0.07470929989034010,2669808970,9184268505,0.14906312562949900,14.2424280202746,0.913916321242801
EHI01104,AII37E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.07520000000000000,47142124,34389904,0.08428826394432690,1532780476,4617462065,0.20356448451034800,12.3739581560261,0.912385874943385
EHI01640,AIF92E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.7105,61618564,25528468,0.06607762406550640,4761548041,3582609766,0.1568779300249200,17.2735844819621,0.932695501614322
EHI01788,AIH09E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.44770000000000000,40196724,31049596,0.024554308749160200,1125411663,4802022629,0.04106775130831200,14.4954671907205,0.916478818876889
