	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA03138_bin.41	0	0	0	521	221	778	529	113	336562	23386	4268	2	677	109	27943	2193	42	8109	608	1007	20	1826	4	0	1881	0	0	136	90	159	0	8	239114	30	0	377536	30	36	37	4836	16	0	0	2225	35607	792	0	266	14	12	48	641	1242287	854	20693	61	122	26	0	40	69	608	20	92	3874	3504	0	0	0	552	0	250	71	4	125510	4290	0	5	0	130	571	12	110	241	347	18	10061	0	45799	0	317537	1045	1031	343	21097
EHA03138_bin.42	326	0	148	967	559	13843	163	6845	5814	2915	7843	8	141	34	1478	676	175	2567	217	284	839	131	0	0	228	6	203	4	1516	157	3	43	5428	11	98	2767	943	14	12	1414	8	2	12	566	1677	37	34	20	63	403	986	41995	78916	61	6361	18	7341	590	3	4	14	128	114	64	500	1365	32	14	0	447	0	193	266	115	4237	435	110	12	3528	510	1252	49	43	731	6268	400	916	0	5864	4	11152	88	1859	69	2496
EHA03138_bin.45	125	1	111	1741	28	488	93	1332	166	14	4	0	2	2	83	8060	516	175	5	7	186	0	240	0	2	0	98	5	133	26	2	1891	40	399	53	799	67	0	0	16412	0	0	10	306	114	2	109	0	301	286	1508	57559	1008169	7	526	0	1685	815	1	0	40	9	118	1762	0	179	16	0	0	596	0	267	3	35	358	6	62	603	536	785	64	62	0	1154	172	45	4	0	15	3	6	0	3224	7	48
EHA03138_bin.47	2	41	7643	55	699	20521	450	242285	37878	1615	1567	12	216	434	4289	35971	179	3697	291	611	35516	258	16	2	99	0	438	79	18760	151	22	9142	29384	949	13151	25613	11180	30	46	72779	0	5	76	1832	9825	79	793	17	57	18769	8654	238114	217204	166	8964	170	262511	4806	0	40	2133	1854	42419	4324	1309	767	139	15	2	17140	2	7886	9	6757	10394	301	45	2528	4563	598	1504	17060	73	954	9197	15087	13630	2	3231	18	12229	353	93	32	6001
EHA03138_bin.48	1	4	2	1	8	7	0	53	5	5	0	2	0	0	139135	4	38	18	0	12	11	0	52	0	0	0	1	0	27	2	11	68	2	2	1	0	20	0	0	5	2	0	4	10	4	0	0	0	16	0	13	6	47	0	15	0	44	4	0	0	4	2	5	5	0	2	7	2	0	0	0	0	0	108	27	0	0	29	1	39	37	1	0	74	2	7	0	0	6	0	0	0	2	0	0
EHA03138_bin.4	2	0	0	154	34	421	182	288866	151639	4013	1346	6	412	30	27308	30226	18	30383	166	2140	466	447	2	0	236	0	168	304	4715	21	0	341	95304	279	610	148530	2703	40	20	60271	13	10	0	599	18216	224	0	22	8	8	82	1413005	3774234	1003	75713	136	313258	75	0	183	59	94	517	1364	1571	6443	22	10	0	643	0	313	24	3689	52570	543	0	100	31	4649	71	213	38	6854	140	244	27429	0	7937	0	23399	409	349	38	25413
EHA03138_bin.50	0	0	0	38	6	12	25	258	0	8	20	0	0	0	1398561	9	3	171	0	78	190	0	1823	0	0	8	4	172	28	0	0	4055	6	10	0	0	10	0	0	16	0	21	0	114	2	0	0	0	0	2	7	6	167	0	395	0	301	4	2	60	0	0	2	12	1	2	1289	0	0	8	0	7	0	5575	6	0	0	1106	38	4	0	4	4	4	2	86	4	0	10	0	0	0	88	2	0
EHA03138_bin.52	0	2	2	3	0	2	45	51	3618	1254	427	6	14	124	1213	31	6	534	1	4	10	192	0	0	18	0	42	0	21	104	0	89	5160	4	6	6927	13	8	0	112	0	0	0	134	558	4	0	2	0	0	0	331	532574	10	1372	8	59	0	0	0	4	529	0	3	453	650	2	2	0	38	0	11	14	0	9925	67	5	12	0	159	0	0	15	207	0	6	231	0	2501	0	1745	100	2	2	1592
EHA03138_bin.5	61839	451	21614	29693	2795	1576663	658	146012	6	456	5	22	10	8	665	21023	7567	0	160	18	62849	94	24	1300	4	16251	8108	34	2660	105694	288	5991	3	111	49534	33	1609	22	10	42320	12	2	3006	2413	79	0	2293	0	3473	52617	203146	13379	1038	37	10	18	153977	115758	10540	10	1003	23	225491	420	41	798	40553	22	151	2023	56	860	26	22173	310	6	2697	1561	26405	41	6466	88529	7	28	711512	26863	55	40	878	228	5	4	55739	3	175
EHA03138_bin.60	821	44	913	322	637	9079	122	23771	14740	1923	16331	53	200	270	11726	3313	527	4354	391	470	1449	418	379	3	280	47	295	40	1138	166	24	1215	20636	71	1074	15799	718	131	108	6710	65	0	48	386	24033	536	135	22	244	2461	2855	63314	414858	152	10783	48	25424	1641	23	19	233	955	1568	360	710	1354	181	72	79	1113	7	529	40	933	8482	649	705	372	4069	434	1449	565	78	658	4048	682	2903	2	3869	149	26384	211	623	148	5772
EHA03138_bin.63	2899	4742	13735	23886	11625	11053	12063	23677	3723	157	5135	2003	582	967	114246	8363	13042	117	12419	7164	42752	99	255926	544	2971	38558	1528	40557	3185	3196	2653	10262	294	375	8443	184	1664	23616	17305	18114	275	4585	949	48750	1675	361	798	5427	5651	35270	36465	1914	22575	346	236	722	23050	18696	23038	16418	20053	4429	53049	2278	412	2128	20351	3888	1234	3399	3496	1684	3540	14794	80	7144	846	2615	11256	3126	27258	18983	22827	4658	4728	17693	291	1463	320	2532	78	128	50523	5452	861
EHA03138_bin.64	2	0	0	6	0	0	14	16	883	330	75	0	0	17	105	10	5	28	2	15	6	22	2	0	5	0	0	0	4	46	0	8	2545	0	4	1289	4	0	0	35	0	0	0	54	66	6	4	0	2	4	8	2142	185689	4	72	0	36	2	0	0	0	80	2	0	111	55	0	2	0	2	0	0	6	2	915	20	1	2	17	18	0	1	4	23	4	10	28	0	646	0	155	13	7	0	168
EHA03138_bin.66	30	34	71	137	405	453	3831	5917	17679	109	120	19	24	31	1030	32149	5503	1017	375	47	2282	124	81	7	12	327	5460	179	15274	789	31	54431	9024	844	224	2103	8932	66	44	69037	18	72	79	14391	53017	8	73	55	2412	177	567	60598	109148	9	2788	23	6274	300	216	69	308	148	349	4287	299	1032	466	32	23	3115	10	1525	37	1513	4374	28	13656	15110	130	9638	931	134	78	13859	196	930	664	2	267	27	290	89	254	107	1166
EHA03138_bin.70	11	0	13	15	9	41	66	1048	18957	494	184	0	36	31	329	234	48	113	25	82	90	40	4	1	21	0	96	0	828	109	0	28	16746	6	4	9750	443	0	0	553	4	0	2	215	4002	42	4	4	12	25	12	1166	85919	27	237	8	1107	1	0	2	0	156	28	19	172	193	3	0	0	162	0	59	4	17	4873	65	50	6	3	576	5	21	2	889	33	40	775	0	881	2	2887	24	36	24	4092
EHA03161_bin.106	0	0	10	8	421	65916	1	3365	61	50	1	0	4	0	10	48	4	0	0	314	13	4	0	0	4	0	16	0	17	2	0	34	68	2	6	136	12	0	0	80	6	0	0	9	124	0	0	0	0	16	1964	284262	18743	0	4	0	3658	1105	0	0	1	4	6	5	6	13	1	0	0	40	0	21	0	10	114	0	2	11	16	14	914	4	0	19	30235	3	0	1	63	0	18	0	12	0	22
EHA03161_bin.107	35	49	157	12	21	978	79	29358	12551	2166	940	10	243	180	1829	961	44	1517	108	187	8501	224	72	4	20	18	64	36	5464	169	11	226	22538	45	190	9744	3351	54	27	2285	6	10	19	262	4745	40	83	4	18	411	1038	106460	213222	89	3968	23	32246	634	14	4	73	676	2418	240	547	645	69	19	4	2696	2	1158	12	858	9625	44	22	93	159	312	96	965	61	423	500	3611	15181	9	4120	13	8362	148	51	184	5392
EHA03161_bin.108	14	0	52	46	91	26882	0	10886	3	89	0	0	0	0	0	0	0	0	0	24	101	0	2	0	0	0	0	0	3	2	0	0	2	0	31	0	2	0	0	18	0	0	0	0	6	0	0	4	0	123	287	73960	8693	0	0	0	11667	166	2	0	0	0	28	0	0	0	0	2	0	10	0	7	0	17	3	2	0	0	109	2	181	0	0	0	12496	48	0	0	186	0	0	0	69	0	2
EHA03161_bin.10	0	2	24	8	240	105670	0	270	257	47	1	0	1	8	33	13278	10	1	3	16	9	3	0	0	0	0	3	6	4	1	3	29	302	0	0	578	3	6	2	27009	0	0	0	9	64	2	0	2	8	30	4179	1490	898	0	7	2	297	2407	4	0	1	6	26	3	3	10	0	0	0	13	0	10	0	0	99	4	8	6	2	11	619	4	2	13	49216	2	30	0	91	2	146	2	20	4	13
EHA03161_bin.11	48331	28	148006	88	706	129	71	247	42	38	47	7	28	473	68	128	54	16	137	80	2643	3	86	9	17	73	48	168	33	54	21	31795	36	516	9262	37	15	101	76	259	2	48	31	360	44	3	13	66	18	383310	444	25081	156	19	37	6	248	231	64	91	9122	1826	2138	2361	2	22	647	34	10	851	26	365	53	188	87	47	84	8728	7997	28	1518	777	180	32	38	1048	13	13	83	20	28	4	98	35	39
EHA03161_bin.12	31933	24	4149	208	20	311	56	20385	10	145	6	8	3	6	19	926	88	4	287	0	863	0	61	65	16	12	22	30	9	48	16	37	14	5	20	3	12	18	12	1878	7	0	0	324	241	0	2	0	39	10395	16299	1040	56	1	8	5	22114	9407	12	18	146	11	679	105	1	56	1437	14	2	570	14	254	2	6225	12	7	0	5	33931	34	52	226	0	63	128	329	12	10	307	6	0	0	369	0	35
EHA03161_bin.14	114425	361	2877	7225	2465	113221	2105	4819	4330	52	488	97	78	71	815	2364	475	30	1371	962	10316	6	15771	63	619	9121	228	9403	244	559	197	398	53	64	917	619	166	5457	4025	5160	40	418	122	8956	188	98	108	590	218	8002	33837	1257	41153	254	63	71	4657	18637	5065	3414	1584	285	12315	332	100	266	1445	266	91	351	168	151	303	1043	58	1571	119	136	10776	216	6320	4231	2294	318	51323	4009	65	115	105	151	3	45	15720	539	97
EHA03161_bin.15	125	0	23	8	129	513	0	875	2	2	0	0	0	0	0	7	5	0	0	16	3233	0	1	6	0	0	1	1	0	40	0	0	0	0	28	7	0	0	0	16	0	0	2	3	0	0	6	0	6	45	205400	1775	498	0	0	0	896	117481	0	0	0	2	19	0	0	4	9	8	0	6	0	4	0	69	0	0	0	0	34	2	255	4	0	0	240	1437	1	0	11	0	4	0	16	0	2
EHA03161_bin.16	110120	4	5788	30	30558	23586	103	40509	46	52	1	3	3	19	30	9139	146	56	639	1	61337	1	96	20	0	6	360	6	72	557	2	602	5	13	2707	45	44	2	0	18832	5	0	11	278	78	0	329	0	40	15246	35538	34395	4713	2	161	15	44350	20627	2	6	114	50	7253	60	0	27	3877	8	5	265	6	102	5	17053	17	4	20	182	2250	146	67946	2786	1	210	10787	26757	18	0	118	20	4	0	62	0	46
EHA03161_bin.17	763	2	635	858	45	7362	69	5954	1221	187	7	0	8	0	1304	11755	1233	6	178	27	1413	40	41	35	179	143	944	0	130	3412	7	1091	14	1629	423	15718	60	0	0	24689	18	0	43	241	118	4	389	0	558	1500	8415	1450557	517573	1439	51	31	6571	5032	121	0	234	2	1443	7600	35	56	572	2	2	2246	4	1039	0	2801	69	408	96	316	2085	57	114	646	4	112	3350	666	31	4	303	2	2	2	1467	17	47
EHA03161_bin.18	4972	0	4	4	8346	875	0	161480	365	10	0	0	1	0	4	19	0	0	2	503	1639	0	0	0	0	0	0	0	0	0	0	0	6	2	0	94	0	0	0	41	0	0	0	2	0	0	0	0	0	9	1991	740	350	0	0	0	168242	1122	0	0	4	0	0	31	0	0	2	0	0	145	0	87	0	88	0	0	0	0	19	0	18889	0	0	2	412	613	0	0	4	0	0	0	7	0	0
EHA03161_bin.19	84	116	120	22646	377	404	89	6716	776701	16512	2139	81	291	170	675669	704277	831	18677	1565	3862	9154	4264	2056	68	5389	177	4362	3370	1352	427	72	4805	3388	586	257	8674	755	39	76	1440949	230	2976	197	233	15304	126	100	7	390	343	466	57406	4916482	1413	46327	135	7177	241	145	1387	454	855	5079	2680	18445	6558	3942	132	28	3535	313	1649	2243	116879	126161	13244	201	1272	1066	2969	1023	1975	374	4530	164	3876	13331	149	32145	44	92	4871	42685	1286	8472
EHA03161_bin.1	117	0	575	1383	544	522	510	21118	176	10	258	0	0	4	30839	425	18	42	391	335	2135	5	305	0	124	2237	24	2288	1829	104	2	1738	4322	96	163	6	1031	1237	803	1027	8	197	1	2371	461	7	3	240	9	1673	3062	400	4764	0	86	0	22148	1609	1240	746	695	7	4030	528	30	37	35311	0	1	25	2	5	189	89051	118	412	18	520	240	135	1357	1292	711	174	195	762	14	0	18	4	0	5	3274	266	28
EHA03161_bin.21	14528	10	4038	2	31814	38334	282	97997	41	7	0	0	0	6	104	16275	594	9	3	12	25943	4	115	0	0	1	286	2	80	42	6	118	15	0	2422	79	41	0	0	32976	2	0	478	993	45	0	827	2	301	9834	2730	104755	745	0	45	0	104116	1555	2	2	3523	10	18928	23	0	0	4140	0	186	377	2	177	0	45399	5	0	15	42	2572	32	73226	7882	0	51	17107	11638	6	0	9	400	3	0	5	0	5
EHA03161_bin.22	11577	123	25479	31	133	471765	61	32825	0	7	1	6	11	2	3	3553	775	0	6	3	3885	0	7	47	1	24	883	25	782	28	96	79	0	10	107	9	447	15	10	7397	6	3	214	278	7	2	632	2	368	61281	47031	8085	52	3	0	1	34824	27381	21	8	66	11	816	11	0	16	321	4	21	505	7	187	1	2656	0	3	17	16	1890	10	299	313	11	6	215617	1663	4	6	3	22	2	0	50	3	10
EHA03161_bin.23	155	0	108	65	224	2800	3061	521	69761	183	112	3	12	76	1012	184406	15125	3304	5	0	2312	154	2	11	8	231	8359	0	80577	2571	8	131328	13809	7322	314	13451	47465	0	0	386731	2	0	537	12246	179738	2	36	0	6926	319	468	162550	91707	12	7842	18	496	241	145	0	36	298	877	35269	333	1952	466	0	4	10766	6	4953	10	483	4293	30	50813	36279	80	23191	453	315	12	34241	1183	1025	512	12	508	27	2129	80	90	0	3928
EHA03161_bin.26	14	470	0	177	604	20	5	362	25	26	118	110	9	120	470	723	3911	4	2	77	377	0	0	0	0	8	275	4	1018	1	371	3419	71	489	33	294	588	2	0	1429	44	0	246	21	330	11	70	0	1836	15	141002	1857	20	12	5	20	415	78522	2	0	13	584	84	2506	0	43	23	158	53	6788	67	3023	0	1625	1912	0	46	912	45	2573	1386	37	6	3999	22	192	28	38	61	90	13	0	464	0	77
EHA03161_bin.27	24102	0	408	19	10175	600	50	1671	37	33	0	173	1	4	52	360	70	19	0	0	5755	0	69	0	2	699	82	2	8	2	1	415	73	3	21536	41	11	0	0	628	0	0	1	200	18	0	3	1	33	1075	9675	98532	580	6	41	0	1674	5860	424	0	4	9	12348	19	0	4	79	274	0	33	0	28	0	4735	9	0	11	88	10712	21	23241	4731	0	20	278	2481	4	0	94	0	2	0	28	0	14
EHA03161_bin.28	13838	1	2923	623	2745	6474	113	135478	226	15	4715	2	20	6	340775	543	55	8	365	115066	3407	54	174	0	103	54	158	228	1225	81	5	815	65	16	2698	10117	801	10	6	1286	41	4	9	444	9354	38	10	139	22	7533	6502	3448	3628	38	31	582	143891	3819	33	112	149	31	2769	63	2	1449	826	0	10	2168	4	1033	93	3969	62	325	438	241	2047	32	6627	1072	2761	48	2900	1583	316	0	37	6	8	0	1172	65	907
EHA03161_bin.32	1504	221	0	11	104	28788	0	32	1	28	523	4	229	2	8	26	187	17	17389	1	23510	0	0	2	3	247	1660	9	48	69	109	1228	2	101	5218	79	33	2	8	46	6	249	737	0	10030	52	441	100	119	8	15	3	48	32	60	211	34	27	102	4	14983	12	24	588	3	286293	2565	0	26	475	169	242	257	0	1493	6	368	290	0	3557	371	4	88	5209	12690	9714	1160	58	70	72	2	0	17	54	3022
EHA03161_bin.34	0	0	258	15	21	46	36143	409	30	12	1	1	0	7	5	332	10	5	0	1	1329217	0	8	6	0	2	13	6	98	0	0	127	29	59	499	24	77	0	0	663	0	2	1	133246	6	0	14	0	0	662	339	457	225	2	18	0	422	138	0	12	470	19	5085	256	0	3	17578	3	0	165	2	78	0	1653	43	1	7	35	60	2	39	1898	0	4	32	584074	4	0	18	0	52	1	17	0	14
EHA03161_bin.37	1345	27	3084	1096	1359	142839	58	21828	36	43	3	2	16	8	106	13692	608	1	91	14	30658	4	11	2753	2	202	1999	11	1258	1100	10	719	9	4	1169	48	729	2	0	27967	18	3	153	231	433	38	1045	0	303	7324	6295	6519	923	4	6	28	23748	3706	70	0	728	50	2466	59	4	148	1575	7	191	1318	4	596	0	3575	25	4	118	217	22231	25	3175	956	0	50	65985	13165	61	3	56	418	1	0	1923	4	103
EHA03161_bin.40	7811	0	2	6	717	58	0	1154	24	4	1	74	0	4	25	60	15	0	0	0	9847	0	1	0	0	82	5	2	13	10	0	26	8	2	1571	1	17	0	0	109	0	0	0	27	28	0	0	0	6	4	16339	26976	106	0	7	0	1311	9656	54	0	0	2	9	4	0	2	3	114	0	8	0	2	0	5375	4	0	8	8	11221	3	1443	2	0	7	25	4289	2	0	12	0	2	0	14	0	1
EHA03161_bin.41	1	9	1022	2	201	32740	69	874	89	3	4	4	2	16	120	3180	36	2	0	2	647	0	0	0	0	0	49	1	739	39	2	1015	44	144	1576	34	449	0	0	6053	0	0	3	164	46	0	127	0	12	2136	47802	2690	395	0	35	3	949	27895	0	0	340	93	1049	609	0	3	308	7	0	1294	0	589	0	620	51	2	71	338	458	2	298	420	0	8	15417	265	19	1	12	1	16	1	0	0	17
EHA03161_bin.44	13	0	377	133	0	7689	0	4202	898	85	4	0	0	0	12	62	565	0	0	8	0	8	67	0	0	0	3631	4	6305	0	0	22	13793	43	20	0	3541	0	0	114	0	0	0	0	691	0	34	4	297	958	5709	13672	56522	0	4	238	4436	2967	0	2	0	2	38	202	4	15530	0	0	0	6	6	6	48	5	4	8	26	2	416737	8	0	8	18	12	3258	4	7	0	134	0	0	0	266	0	12271
EHA03161_bin.47	0	0	4	6	4	10	150	36329	2	12	7	0	2	2	47732	6	6	44	6	132	547	0	155	3	0	2	10	229	8	4	6	9255	22	65	2	3	12	4	2	6	0	120	0	494	8	0	0	0	2	8	97	41	495	0	77	3	37991	43	2	100	2	6	24	336	0	0	8580	8	0	9	2	2	0	50879	0	0	0	2411	80	5	22	16	3	4	1	228	2	2	18	0	0	0	6	2	2
EHA03161_bin.4	909	56	49	163	1054	1141	73	47	0	14	44	311	12	18	0	18	164	0	21	0	20175	0	131	52	6	435	62	271	64	4	26	181	2	14	15441	4	54	20	14	25	14	6	8	303	39	11	60	0	54	87	6340	1027	6	20	0	67	52	3718	272	103	16	87	14880	91	2	102	2188	525	15	54	88	28	0	1406	11	2	19	34	1758	81	2647	6185	92	167	479	9063	15	18	21	37	2	0	303	2	70
EHA03161_bin.50	6	191	0	0	1	148	0	12	0	0	25	0	0	0	8	0	1144	0	30	4	68730	0	0	0	0	0	3332	0	6	4736	78	1	0	0	16	2	3	0	0	0	45	0	1181	0	73142	24	156	2	522	7	0	0	28	0	0	0	22	0	0	4	40	0	2	0	8	21792	13	2	27	0	23	0	0	2	7	4	3168	3	0	5	1	0	0	7	50	29549	10	33	0	61	0	2	0	62	3363
EHA03161_bin.52	0	0	0	52	43	209578	0	302884	1	43	0	0	0	0	6	157	0	0	0	249	0	0	1	0	8	0	0	7	2	0	0	19	3	0	0	4	7	0	0	456	4	0	0	0	0	0	0	0	0	1	757	78164	3806	2	6	2	327322	410	0	2	12	0	0	0	0	0	0	2	0	2	0	2	0	0	24	6	0	2	6	0	116	0	0	0	96837	0	2	0	120	0	8	0	40	0	0
EHA03161_bin.58	8	0	17	111	0	1637	0	108629	8	2	0	0	0	2	0	14	2	0	0	127	0	0	0	0	0	0	1	0	6	0	0	4	0	0	0	0	4	0	0	4	0	0	0	7	3	0	0	0	0	85	0	566	230	0	0	0	111421	0	0	0	0	0	0	0	0	0	0	0	0	24	0	6	0	1	5	0	0	2	121	0	0	0	1	0	789	0	0	0	21	0	3	4	178	0	7
EHA03161_bin.59	14	0	10	8	44	753	0	158562	2	8	0	0	0	0	14	8	2	0	0	561	9	2	0	0	2	0	0	2	36	0	0	11	21	3	15	38	9	0	0	8	0	0	0	3	37	0	0	0	0	20	297	11026	36817	2	2	0	164407	153	0	2	0	0	12	20	0	0	0	0	0	4	0	8	0	1	24	9	0	3	8	0	100	4	0	2	334	3	24	0	17	0	10	0	10	2	6
EHA03161_bin.61	0	2	9	43	132	994	0	256192	7	40	0	0	0	0	2	2	8	1	0	3467	14	0	4	2	2	6	2	2	13	2	0	15	0	2	4	4	3	2	6	12	0	0	0	10	13	0	0	0	4	40	64	591	416	2	0	0	275882	37	0	6	0	12	8	8	0	5	0	0	0	20	6	6	0	12	6	0	3	10	9	6	430	0	4	6	382	8	0	2	100	3	4	0	70	0	10
EHA03161_bin.62	17992	51350	50173	98429	56871	52788	50441	185021	23108	2553	33103	21730	16192	11903	55939	42682	86941	132	85571	46434	152508	638	55536	20964	10195	156319	38098	153373	34043	24356	29696	52866	7976	8612	51675	4592	18495	98572	71924	94068	7559	28524	22060	206853	28576	9284	20478	38843	36747	130815	123453	11408	132104	9336	392	20246	191572	63113	95626	60921	127642	53568	259838	46782	2174	56697	93495	40259	14005	40015	25085	17959	22740	53551	2221	24048	24023	14038	45781	38492	134447	95011	138979	57931	22922	62588	7230	10701	4931	28429	1896	605	211637	35943	22066
EHA03161_bin.68	0	2	0	0	2	2	0	0	0	0	0	0	0	2	2	0	1	0	3	2	1	0	0	3	0	0	0	2	0	0	4	6	0	0	0	0	0	0	0	2	2	1	1	1	5	2	4	0	5	6	562481	1	0	0	0	0	0	320684	0	4	98	0	10	0	0	3	0	0	1	4	4	0	3	980	0	0	1	0	0	0	2	6	6	0	0	0	0	0	0	1	0	0	6	2	0
EHA03161_bin.69	0	726	0	812	0	5	0	0	0	2	0	13	55	10627	0	159	1432	0	0	0	3	0	0	286	2	0	1743	2	282	0	426	229	16	134	63	388	156	0	0	375	7	0	1456	0	2893	340	301	0	645	0	153629	0	0	2	0	1292	0	89764	0	0	0	43526	5295	650	0	2885	0	16	1873	12273	25	6006	0	0	70	0	5290	50	0	853	0	2043	0	1156	1	4	1	18	19	3412	1774	0	1658	0	800
EHA03161_bin.6	5	0	11	6	581	10739	1	391022	5	2	8	0	2	0	14	172	3919	8	0	357	38	0	0	0	4	0	4	0	6	16	0	22	0	529	7167	84	8	0	0	282	2	0	0	0	9	0	0	2	1859	31	225	9157	2322	14	0	0	411669	134	0	0	0	0	1128	2253	0	0	13	0	0	27	0	4	0	152	0	2	2	7	15	3	1438	465	74	10	4725	19	0	2	4	0	0	0	23	0	0
EHA03161_bin.70	0	0	54	0	0	10	18	68429	22	4	3	0	0	0	4074	81	12	0	0	22	850	0	85	0	0	0	14	4	8111	0	0	1423	20815	1686	10	1294	4852	0	0	141	0	4	0	89	11	0	0	0	2	142	361	21341	1456	2	2	0	73170	203	0	6	1	0	155	7896	0	4	723	2	0	2352	0	1067	0	33255	3	2	2	381	338	9	2	46	0	10	0	371	0	0	8	0	1	0	4	0	10
EHA03161_bin.72	2518	65175	7417	14150	7328	7771	6160	11239	2801	3076	4144	27152	18008	13046	7416	15380	107856	175	12477	6276	19858	93	7774	17728	1191	17281	38762	20832	41157	24511	38348	63408	8182	9579	8620	4605	23451	11978	8908	31127	8883	4148	24087	24475	32010	10666	23445	5009	46987	19037	2087604	2722	18104	9895	558	21245	11356	1222016	10287	8354	18509	57006	134058	50756	246	62633	144508	49673	18029	46317	36975	20966	2599	38497	2075	2792	24847	17124	19697	52351	17727	50326	18316	76673	3381	8420	8164	15685	6018	36371	2182	56	29190	4602	21060
EHA03161_bin.75	0	0	18	34	4001	200572	0	13436	138	10	4	0	3	0	126	33	0	0	0	56	0	1	0	0	0	0	0	0	2	0	0	24	52	2	1	1383	0	0	0	81	0	0	0	8	17	0	0	2	0	58	1986	497958	9891	4	8	0	14136	1173	0	0	1	1	14	1	4	0	0	0	0	198	0	96	0	0	128	10	0	2	8	0	8890	2	1	0	92656	0	14	1	43	0	111	6	79	0	37
EHA03161_bin.77	2	12	6	19	84370	425	4	50	96	24	1	4	2	10	46	8	24	2	13	22	10	1	13	2	4	6	17	12	8	0	10	31	45	0	6	93	4	2	0	26	5	2	9	10	28	4	10	12	17	20	36	325	403	0	4	5	35	16	8	2	34	14	16	10	1	43	3	16	8	14	6	4	5	18	64	6	10	14	5	14	190568	2	10	19	184	4	8	2	26	10	86	0	35	2	30
EHA03161_bin.7	2652	79	2867	1097	70431	95459	606	23603	3998	169	36	5	9	71	8404	11471	3202	414	195	70	147064	20	172	322	13	2558	2983	12	7241	26567	54	16197	1558	771	6647	1460	4172	0	4	23294	6	1	732	2253	26883	58	710	0	1486	7414	15221	549666	25706	33	971	59	24940	8260	1531	2	53287	333	127982	3820	38	948	4964	9	67	2911	26	1433	3	37179	950	25	6104	4234	71505	2145	159435	49787	6	2856	42638	62461	445	11	329	114	457	13	2215	11	622
EHA03161_bin.80	22	0	0	16	33	1153	0	51009	1	27	3	0	0	0	2	2	3	0	0	50	16	0	11	0	0	0	0	0	2	0	0	16	0	0	12	0	2	0	0	12	0	0	0	2	0	0	0	0	0	6	161	72058	9461	0	0	0	54499	74	4	0	0	2	8	0	0	0	3	1	0	7	0	2	0	15	6	2	0	0	28	2	47	2	0	7	522	5	0	0	50	0	2	0	28	0	4
EHA03161_bin.82	5	0	12	52	12	3564	0	41807	30	112	0	0	7	3	2	3	0	2	0	50	23	0	0	0	6	2	0	0	8	0	0	0	29	0	1	31	5	0	0	5	0	0	0	0	92	2	0	0	0	16	96	49110	4626	0	9	2	45302	60	0	0	3	4	20	0	0	13	3	0	0	12	0	5	0	1	30	22	0	0	40	0	17	6	0	2	1683	14	10	0	236	0	82	0	103	0	14
EHA03161_bin.83	1	0	11	5	0	0	17	19	7285	0	0	2	0	18	261	33123	144	0	0	0	10	0	4	0	0	0	27	0	143	1	0	73	33	22	0	996	98	0	0	68850	8	0	9	121	112	0	48	0	61	19	17	46	75	4	9	2	14	4	0	0	1	80	0	131	2	25	11	2	6	78	0	44	0	35	6	0	29	29	98	2	0	0	0	9	0	14	17	0	11	16	4	0	15	0	4
EHA03161_bin.84	34	0	6	18	16251	251173	0	66196	4	26	0	0	0	0	0	39	1	0	0	1120	26	0	7	0	0	0	0	0	0	2	0	0	2	0	1	1	2	2	0	90	0	0	0	0	5	0	0	0	0	10	426	55682	2017	0	0	0	71723	300	0	0	0	0	2	0	0	0	10	3	0	0	0	3	2	8	4	2	0	0	85	0	37064	0	0	2	116263	13	0	0	43	1	0	0	41	0	0
EHA03161_bin.85	0	0	8	16	59	107514	0	37365	17	8	0	0	0	0	0	0	2	0	0	113	9	0	0	0	0	0	2	0	5	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	7	0	6	117	5762	988	0	0	0	39821	71	0	0	0	0	2	2	0	0	0	0	0	0	0	4	0	45	0	0	0	0	5	0	119	0	0	0	49455	15	0	0	27	0	0	0	20	0	2
