	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA02611_bin.22	65	0	4	76	536	86	3294	1351	460845	2383	283	24	31	778	1213	64791	4976	206	32	296	2326	128	5	0	85	140	1701	3	19311	2828	0	6786	3407	776	194	79860	11604	4	6	134061	6	8	47	13352	23118	4	3	0	2166	38	280	55029	2505306	10	490	6	1264	136	88	1	200	3295	6	3425	37	1331	1593	7	6	49468	12	22715	16	387	29507	138	1711	1927	10	47305	1277	4	6	69522	16	932	396	8	4647	22	1894	14	132	2	3293
EHA02611_bin.24	5	0	203	463	814	11075	188	1183	64299	5561	1145	3	385	76	13384	1314	65	2319	102	452	346	201	22	0	202	6	42	33	6751	266	4	311	61184	29	335	39236	3725	16	6	2790	2	4	1	780	5319	166	25	8	30	557	710	12461	207546	104	5894	85	1299	354	0	21	158	368	266	137	791	1681	32	0	4	656	10	292	83	119	56471	454	5	103	103	780	2028	123	16	1065	5020	174	4107	0	10521	0	68950	205	937	10	20433
EHA02611_bin.28	2	40	404	80	367	24133	121	335005	40518	2884	1706	2	410	673	5361	4858	43	7547	302	879	33655	249	6	0	143	0	191	110	32893	167	22	793	92597	244	716	61724	19599	27	43	9389	9	2	5	475	24186	221	282	26	11	1023	1411	198751	196790	466	18446	616	360789	796	0	40	191	2915	59964	1295	1487	1522	64	5	0	11323	10	5561	7	1949	29732	356	0	258	279	1331	840	24316	54	2042	11228	14414	38442	2	5436	4	29098	388	156	76	16300
EHA02611_bin.31	524945	32238	296423	94	25831	218220	13560	1859049	126	109	0	72	8	49	861	261108	195724	6	6	14	992716	10	127	8026	1	3559	253226	4	162259	1682	20314	13318	29	250	4818	34	94876	0	0	525649	8	0	77761	51783	180	2	150200	2	90957	723420	214624	397596	1101	2	26	3	2002496	123528	2436	4	12731	193	44637	927	5	13	78773	118	3438	65129	12	31218	2	325918	33	2	5998	3910	276153	108	57524	17596	3	167	99365	432464	22	2	195	6682	58	0	241	0	54
EHA02611_bin.32	3064	789	14734	187	1554	40937	25543	59363	2123	154	7	12	48	185	227	1764836	1157	15248	30	196	3739	29	101	53	0	36	15038	14	29782	110	474	193741	67	10513	12875	9456	17811	2	0	3577930	41	2	2970	97789	1054	2	13099	37	618	35589	127246	3140341	317489	162	37274	14	64074	73213	36	4	2312	765	22125	49694	81	1291	1432	14	79	90790	17	43318	0	1414	5312	2	22382	54482	107913	84832	3617	8917	0	121623	18757	1571	95	6	300	157	6	11	350	2	435
EHA02611_bin.33	0	2	469	2063	173	1934	33	76076	59820	4349	115	2	7	1888	423	12524	23	9032	37	204	6333	6907	20	0	10085	0	15	0	1877	386	0	490	3908	80	611	232681	1119	0	2	24558	0	0	2	154	1042	7	49	2	4	1170	1602	398188	1195184	50	22574	16	81113	974	0	4	193	7220	3715	356	32475	144	90	6	0	34792	0	16781	14	405	69945	22850	5	123	294	4820	310	1390	3	6798	840	2695	1608	0	8378	0	89926	8966	4024	18	800
EHA02611_bin.34	0	2	461	2	66	463	130	647498	992	168	70	10	20	22	42	1852	9	220	4	12	67235	24	0	0	0	0	58	6	8898	16	2	555	87351	136	824	3281	5170	2	0	3689	1	0	1	437	500	5	87	0	1	1341	1550	8323	11093	8	514	5	698751	931	0	8	153	110	31139	623	23	70	315	20	0	29931	0	14144	0	302	769	10	4	187	347	33	140	12674	4	48	233	28655	1064	0	408	0	609	4	5	0	549
EHA02611_bin.37	92	265	183	178	455	687	1440	15888	43842	425	168	9	73	306	3867	79192	14376	3498	33	266	1284	162	23	15	23	614	22988	42	140007	2594	188	200043	16567	27593	310	54597	82474	4	0	165024	5	8	391	5743	751556	111	442	0	6507	344	2457	70926	60687	72	8516	354	16153	1338	391	6	152	1298	263	131634	405	18696	2744	12	165	55812	160	26185	45	2105	14284	69	156314	56302	140	26843	955	87	3	38840	255	566	7024	71	800	277	3403	136	312	2	10961
EHA02611_bin.39	40	117	26	41	275	423	4046	7764	12611	167	38	27	35	63	607	34531	15564	7930	7	38	2131	128	4	8	2	284	14157	26	33342	807	62	448492	11771	2609	189	4538	19753	0	2	73035	15	5	218	15912	145798	7	153	6	7189	58	495	56478	70268	12	20540	37	7862	283	193	10	33	282	137	12500	239	3367	401	8	31	10299	49	5023	4	2345	7205	6	41653	123319	82	16114	778	63	9	22875	163	840	1579	17	302	69	403	69	46	0	2753
EHA02611_bin.44	59956	4315	57649	17531	18182	1678836	7380	102486	56	2713	35	661	107	222	1035	34796	80837	24	290	48	386549	113	35	19066	37	94545	100061	296	26656	1426863	2563	22842	49	1497	202218	139	15839	168	99	71791	75	35	39832	26405	601	60	31947	25	36286	142405	339701	77447	5913	94	32	146	109032	194833	62952	82	5484	1042	546840	7349	21	10203	213794	1225	1883	6632	1714	3242	282	94408	145	81	43267	6700	70010	683	41792	218342	156	899	755241	166984	153	681	5136	3633	12	5	34590	19	646
EHA02611_bin.48	0	0	0	2	2	2	26	14	5424	6484	1038	0	19	855	1216	86	20	3763	13	14	0	142	0	0	66	2	28	0	17	65	0	216	3829	2	0	9857	4	6	6	163	2	8	1	72	2675	23	0	0	0	4	2	120	62473	48	10630	14	0	2	0	0	8	3478	0	13	181	2163	2	10	0	40	0	8	21	0	43645	194	0	60	0	201	0	0	13	357	0	2	1049	0	13517	0	10563	44	0	2	3652
EHA02611_bin.49	2	10	6	415	4	7	48	14	21971	4072	1277	8	68	920	1076	79	70	2754	15	22	8	146	2	2	80	14	232	5	65	169	8	1017	6599	8	25	31794	47	16	23	181	10	0	3	191	4375	21	2	2	42	24	14	77	147260	183	7090	14	8	4	2	6	15	4063	14	22	377	2405	11	28	10	86	10	36	46	3	55729	234	5	314	2	1857	14	2	19	2612	0	9	977	0	7818	14	15423	119	815	16	18931
EHA02611_bin.53	5	38	75	84203	108	916	352	5233	27712	4101	1518	12	373	315	4439	2375	108	297817	101	763	1945	285741	788	15	374338	28	197	58	1899	14080	28	483	18814	29	127	25042	1000	22	24	4897	33	10	18	1406	8482	186	27	35	75	207	451	16758	188735	1036	731089	129	5833	225	20	15	54	1440	926	228	1271503	2840	32	25	9	2947	19	1360	59	314	95279	844079	112	142	70	3658	186	330	40	5428	489	856	5465	16	7847	29	14925	357188	156644	49	6653
EHA02611_bin.54	1066	46414	1044	357	218	1576	1216	10185	13032	1896	51	25605	5528	12055	182	8272	117649	407	111	95	4280	70	102	3724	43	133	13613	132	49275	408	25966	45976	8602	4591	170	7726	27200	92	63	17019	3388	24	6753	4722	24301	3902	6387	41	47964	2531	954	4903	42486	3687	977	7103	11314	563	107	45	324	56429	1168	26432	147	19388	271	49448	10125	31045	38909	13300	52	935	2551	95	8813	11451	7374	34375	566	437	134	52338	700	1978	3232	15427	4248	21486	809	39	690	43	6429
