"","Sample","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","state"
"32","EHI01641","AIG15E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.4384,63217598,43668370,0.0736582231063914,2415298413,6002895168,0.177642023026783,15.1152139952151,0.944824544996005,"Florida"
"33","EHI01640","AIF92E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.7105,61618564,25528468,0.0660776240655064,4761548041,3582609766,0.15687793002492,17.2735844819621,0.932695501614322,"Florida"
"34","EHI01788","AIH09E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.4477,40196724,31049596,0.0245543087491602,1125411663,4802022629,0.041067751308312,14.4954671907205,0.916478818876889,"Florida"
"35","EHI01828","AIG97E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.5899,71473944,24870000,0.040359446181945,6579357577,3831029109,0.0681705168144309,17.2573711462058,0.976865737731073,"Florida"
"36","EHI01105","AIJ26E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Female","United States",27.34788,-98.23905,0.3485,40580548,29743800,0.0512939142939555,1321762905,4229939989,0.13473579811857,14.1975429358826,0.909185909294576,"Texas"
"37","EHI01792","AIJ48E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Female","United States",27.34788,-98.23905,0.5939,31352238,21801438,0.0239277233803774,1240521491,3342902507,0.0487115898093415,14.69762729505,0.941120264260422,"Texas"
"38","EHI01126","AIF59E1L1I1","Cathartes aura","Florida, Lake Butler","Colon contents","Accipitriformes","Male","United States",30.02768,-82.34884,0.524,31523326,20218112,0.116290959881488,1398148988,2776849221,0.219734690057367,15.8552521449918,0.885776240998548,"Florida"
"39","EHI01635","AIG42E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.0021,88148428,957809,0.0293906201940077,12612458592,147799971,0.063305159943973,19.8797420881275,0.804205871014938,"Florida"
"40","EHI01661","AIJ26E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Female","United States",27.34788,-98.23905,0.3498,106980504,78922424,0.057155214311629,3412107018,11125556274,0.145840627126139,14.5144401211119,0.952844285557051,"Texas"
"41","EHI01192","AIH42E1L1I1","Cathartes aura","Florida, 1.4 mi W of Hasan","Stomach contents","Accipitriformes","Male","United States",29.85755,-82.4619,0.0014,19921922,11766631,0.0516914440736623,1120354042,1817923362,0.0675619879453304,18.5111778731232,0.631834419862478,"Florida"
"42","EHI01233","AIF75E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.7507,22921262,11426561,0.0473481786441352,1608285951,1757350319,0.0674511369583812,16.9649598792976,0.918635219641856,"Florida"
"43","EHI01116","AII04E1L1I1","Cathartes aura","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.4386,32411360,22067640,0.0660341207998009,1278955458,3042197453,0.169877603062503,15.3762614386434,0.906889028325031,"Texas"
"44","EHI01658","AIF53E1L1I1","Cathartes aura","Florida, Lake Butler","Stomach contents","Accipitriformes","Male","United States",30.02768,-82.34884,0.0574,93588144,56137212,0.0992823951498297,4650932608,7720936197,0.206198594445885,17.7560677620889,0.662450091513513,"Florida"
"45","EHI01794","AIJ31E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Male","United States",27.34788,-98.23905,0,22139042,18729568,0.0244922954469226,0,3258935096,0.0426817641021013,12.0604140766014,0.91434959662455,"Texas"
"46","EHI01120","AII97E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Stomach contents","Accipitriformes","Female","United States",27.34788,-98.23905,0,30747548,25436446,0.0881373790403036,0,4069727662,0.195375940771278,11.9099928900634,0.918082341748026,"Texas"
"47","EHI01651","AIG26E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.8394,61445490,21557998,0.0611034416621898,5386219171,3085009822,0.137055434942508,16.9129168543793,0.957269418629915,"Florida"
"48","EHI01800","AIH04E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.424,47140504,30900768,0.0340099453698916,2170702609,4784269485,0.0498710163650435,15.3671492859646,0.941111070795118,"Florida"
"49","EHI01125","AIJ04E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Female","United States",27.34788,-98.23905,0,29237494,23670530,0.104230380320497,0,3825874713,0.218559945298222,11.6441478982591,0.913003614201977,"Texas"
"50","EHI01653","AIF59E1L1I1","Cathartes aura","Florida, Lake Butler","Colon contents","Accipitriformes","Male","United States",30.02768,-82.34884,0.4921,55338840,35470412,0.128969873058628,2435813587,4802463612,0.240466249083909,15.9238661852928,0.904342449114882,"Florida"
"51","EHI01090","AIF92E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.7414,65927922,27367840,0.0598056067927499,5130134555,3891643356,0.142272879091278,17.3040649400252,0.936881180545043,"Florida"
"52","EHI01797","AII59E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,35447356,28576684,0.0165816970566051,0,5205102278,0.0372967264699876,11.8625855071457,0.92648272277186,"Texas"
"53","EHI01790","AII75E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0099,37114160,30022540,0.0357474426788699,872329573,4614054944,0.049731908079593,12.0900636231426,0.922550544439607,"Texas"
"54","EHI01117","AIH26E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0,19220816,15053401,0.0325017295436663,0,2780003173,0.067105766393886,12.5462861494666,0.883889876915211,"Florida"
"55","EHI01127","AIF70E1L1I1","Coragyps atratus","Florida, Lake Butler","Colon contents","Accipitriformes","Female","United States",30.02768,-82.34884,0.0753,42457266,30838276,0.0513813947066086,1442812985,4180238155,0.162431399465647,12.5140040704646,0.902072104065646,"Florida"
"56","EHI01087","AIG04E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.2016,30333886,23110756,0.0663627907331773,901666067,3302283366,0.137386350361889,13.5841024789703,0.874359790901148,"Florida"
"57","EHI01195","AIF64E1L1I1","Coragyps atratus","Florida, Lake Butler","Stomach contents","Accipitriformes","Female","United States",30.02768,-82.34884,0.5022,18985248,3919901,0.0206659735159763,2202403704,603037979,0.0352282995448163,19.7025332621212,0.643106179792499,"Florida"
"58","EHI01098","AIF97E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0167,19517274,267179,0.0772848757025576,2614262907,37288829,0.164286675941753,18.7669711941371,0.620438571156549,"Florida"
"59","EHI01223","AIH64E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Stomach contents","Accipitriformes","Female","United States",29.85755,-82.4619,0.5973,15034756,3164663,0.0364032074866821,1720283008,478323775,0.0605898119899322,18.7210205338488,0.72032207078051,"Florida"
"60","EHI01185","AIH53E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Stomach contents","Accipitriformes","Female","United States",29.85755,-82.4619,0.7285,17444140,9348067,0.0276698286652496,1132903190,1433175170,0.0464513540794805,17.1813577945629,0.804691030694823,"Florida"
"61","EHI01634","AIG04E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.1883,107119606,81393760,0.0720560002056869,3211049835,11552273575,0.14739931764795,14.2310405417859,0.921997887487032,"Florida"
"62","EHI01823","AII42E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.6918,92855116,52701124,0.0418337216900424,5638153872,8035743318,0.0593325929013047,15.4064682902426,0.953946158607441,"Texas"
"63","EHI01655","AIG75E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0423,92567944,7973483,0.0632590355869087,12031838452,1179840525,0.108696425447155,20.3787514769461,0.778340252168111,"Florida"
"64","EHI01657","AIH81E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0357,47053692,36528790,0.0593300084407762,1298988186,5098951827,0.147307409582918,12.138869977108,0.920800357287266,"Texas"
"65","EHI01109","AIH70E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Colon contents","Accipitriformes","Female","United States",29.85755,-82.4619,0,22946552,17274620,0.057937618627376,0,3125795836,0.144477227211364,12.8298004721874,0.878163737061778,"Florida"
"66","EHI01121","AIH92E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,16011882,12399834,0.134087711525998,0,2061206631,0.256875133576013,10.9026025719846,0.905274427539627,"Texas"
"67","EHI01187","AII31E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,17844736,14469059,0.0326170889458997,0,2631976641,0.0487841998906671,11.622338477846,0.903779527353127,"Texas"
